=============BTC 7, 10=============
开多:2019-06-01T20:00:00, 开仓价:8565.75, 平多:2019-06-03T16:00:00, 平仓价:8529.70, 盈亏-0.42%
开空:2019-06-03T16:00:00, 开仓价:8529.70, 平空:2019-06-07T12:00:00, 平仓价:7951.71, 盈亏6.78%
开多:2019-06-07T12:00:00, 开仓价:7951.71, 平多:2019-06-09T16:00:00, 平仓价:7870.78, 盈亏-1.02%
开空:2019-06-09T16:00:00, 开仓价:7870.78, 平空:2019-06-10T20:00:00, 平仓价:7959.76, 盈亏-1.13%
开多:2019-06-10T20:00:00, 开仓价:7959.76, 平多:2019-06-11T20:00:00, 平仓价:7776.56, 盈亏-2.30%
开空:2019-06-11T20:00:00, 开仓价:7776.56, 平空:2019-06-12T04:00:00, 平仓价:7912.32, 盈亏-1.75%
开多:2019-06-12T04:00:00, 开仓价:7912.32, 平多:2019-06-19T04:00:00, 平仓价:9110.06, 盈亏15.14%
开空:2019-06-19T04:00:00, 开仓价:9110.06, 平空:2019-06-19T12:00:00, 平仓价:9206.88, 盈亏-1.06%
开多:2019-06-19T12:00:00, 开仓价:9206.88, 平多:2019-06-19T16:00:00, 平仓价:9158.91, 盈亏-0.52%
开空:2019-06-19T16:00:00, 开仓价:9158.91, 平空:2019-06-20T04:00:00, 平仓价:9299.48, 盈亏-1.53%
开多:2019-06-20T04:00:00, 开仓价:9299.48, 平多:2019-06-28T00:00:00, 平仓价:10958.92, 盈亏17.84%
开空:2019-06-28T00:00:00, 开仓价:10958.92, 平空:2019-06-29T04:00:00, 平仓价:12397.77, 盈亏-13.13%
开多:2019-06-29T04:00:00, 开仓价:12397.77, 平多:2019-06-29T08:00:00, 平仓价:11569.96, 盈亏-6.68%
开空:2019-06-29T08:00:00, 开仓价:11569.96, 平空:2019-06-30T08:00:00, 平仓价:12208.50, 盈亏-5.52%
开多:2019-06-30T08:00:00, 开仓价:12208.50, 平多:2019-06-30T12:00:00, 平仓价:11793.57, 盈亏-3.40%
开空:2019-06-30T12:00:00, 开仓价:11793.57, 平空:2019-07-03T08:00:00, 平仓价:11325.09, 盈亏3.97%
开多:2019-07-03T08:00:00, 开仓价:11325.09, 平多:2019-07-05T12:00:00, 平仓价:10874.51, 盈亏-3.98%
开空:2019-07-05T12:00:00, 开仓价:10874.51, 平空:2019-07-06T12:00:00, 平仓价:11516.41, 盈亏-5.90%
开多:2019-07-06T12:00:00, 开仓价:11516.41, 平多:2019-07-07T08:00:00, 平仓价:11217.14, 盈亏-2.60%
开空:2019-07-07T08:00:00, 开仓价:11217.14, 平空:2019-07-08T00:00:00, 平仓价:11615.81, 盈亏-3.55%
开多:2019-07-08T00:00:00, 开仓价:11615.81, 平多:2019-07-11T04:00:00, 平仓价:12130.76, 盈亏4.43%
开空:2019-07-11T04:00:00, 开仓价:12130.76, 平空:2019-07-18T20:00:00, 平仓价:10462.10, 盈亏13.76%
开多:2019-07-18T20:00:00, 开仓价:10462.10, 平多:2019-06-28T00:00:00, 平仓价:10958.92, 盈亏4.75%
开空:2019-06-28T00:00:00, 开仓价:10958.92, 平空:2019-06-29T00:00:00, 平仓价:12352.40, 盈亏-12.72%
开多:2019-06-29T00:00:00, 开仓价:12352.40, 平多:2019-06-29T12:00:00, 平仓价:11874.15, 盈亏-3.87%
开空:2019-06-29T12:00:00, 开仓价:11874.15, 平空:2019-06-29T16:00:00, 平仓价:12040.15, 盈亏-1.40%
开多:2019-06-29T16:00:00, 开仓价:12040.15, 平多:2019-06-30T16:00:00, 平仓价:11598.98, 盈亏-3.66%
开空:2019-06-30T16:00:00, 开仓价:11598.98, 平空:2019-07-03T08:00:00, 平仓价:11325.09, 盈亏2.36%
开多:2019-07-03T08:00:00, 开仓价:11325.09, 平多:2019-07-05T12:00:00, 平仓价:10874.51, 盈亏-3.98%
开空:2019-07-05T12:00:00, 开仓价:10874.51, 平空:2019-07-06T12:00:00, 平仓价:11516.41, 盈亏-5.90%
开多:2019-07-06T12:00:00, 开仓价:11516.41, 平多:2019-07-07T08:00:00, 平仓价:11217.14, 盈亏-2.60%
开空:2019-07-07T08:00:00, 开仓价:11217.14, 平空:2019-07-08T00:00:00, 平仓价:11615.81, 盈亏-3.55%
开多:2019-07-08T00:00:00, 开仓价:11615.81, 平多:2019-07-11T04:00:00, 平仓价:12130.76, 盈亏4.43%
开空:2019-07-11T04:00:00, 开仓价:12130.76, 平空:2019-07-18T20:00:00, 平仓价:10462.10, 盈亏13.76%
开多:2019-07-18T20:00:00, 开仓价:10462.10, 平多:2019-07-22T00:00:00, 平仓价:10421.27, 盈亏-0.39%
开空:2019-07-22T00:00:00, 开仓价:10421.27, 平空:2019-07-22T08:00:00, 平仓价:10638.45, 盈亏-2.08%
开多:2019-07-22T08:00:00, 开仓价:10638.45, 平多:2019-07-22T20:00:00, 平仓价:10243.12, 盈亏-3.72%
开空:2019-07-22T20:00:00, 开仓价:10243.12, 平空:2019-07-25T16:00:00, 平仓价:10105.56, 盈亏1.34%
开多:2019-07-25T16:00:00, 开仓价:10105.56, 平多:2019-07-26T00:00:00, 平仓价:9879.83, 盈亏-2.23%
开空:2019-07-26T00:00:00, 开仓价:9879.83, 平空:2019-07-27T08:00:00, 平仓价:10135.85, 盈亏-2.59%
开多:2019-07-27T08:00:00, 开仓价:10135.85, 平多:2019-07-27T16:00:00, 平仓价:9485.40, 盈亏-6.42%
开空:2019-07-27T16:00:00, 开仓价:9485.40, 平空:2019-07-30T20:00:00, 平仓价:9699.03, 盈亏-2.25%
开多:2019-07-30T20:00:00, 开仓价:9699.03, 平多:2019-08-09T00:00:00, 平仓价:11628.56, 盈亏19.89%
开空:2019-08-09T00:00:00, 开仓价:11628.56, 平空:2019-08-09T04:00:00, 平仓价:12066.46, 盈亏-3.77%
开多:2019-08-09T04:00:00, 开仓价:12066.46, 平多:2019-08-09T20:00:00, 平仓价:11764.18, 盈亏-2.51%
开空:2019-08-09T20:00:00, 开仓价:11764.18, 平空:2019-08-10T04:00:00, 平仓价:11919.15, 盈亏-1.32%
开多:2019-08-10T04:00:00, 开仓价:11919.15, 平多:2019-08-10T16:00:00, 平仓价:11375.67, 盈亏-4.56%
开空:2019-08-10T16:00:00, 开仓价:11375.67, 平空:2019-07-25T16:00:00, 平仓价:10105.56, 盈亏11.17%
开多:2019-07-25T16:00:00, 开仓价:10105.56, 平多:2019-07-26T00:00:00, 平仓价:9879.83, 盈亏-2.23%
开空:2019-07-26T00:00:00, 开仓价:9879.83, 平空:2019-07-27T08:00:00, 平仓价:10135.85, 盈亏-2.59%
开多:2019-07-27T08:00:00, 开仓价:10135.85, 平多:2019-07-27T16:00:00, 平仓价:9485.40, 盈亏-6.42%
开空:2019-07-27T16:00:00, 开仓价:9485.40, 平空:2019-07-30T20:00:00, 平仓价:9699.03, 盈亏-2.25%
开多:2019-07-30T20:00:00, 开仓价:9699.03, 平多:2019-08-09T00:00:00, 平仓价:11628.56, 盈亏19.89%
开空:2019-08-09T00:00:00, 开仓价:11628.56, 平空:2019-08-09T04:00:00, 平仓价:12066.46, 盈亏-3.77%
开多:2019-08-09T04:00:00, 开仓价:12066.46, 平多:2019-08-09T20:00:00, 平仓价:11764.18, 盈亏-2.51%
开空:2019-08-09T20:00:00, 开仓价:11764.18, 平空:2019-08-10T04:00:00, 平仓价:11919.15, 盈亏-1.32%
开多:2019-08-10T04:00:00, 开仓价:11919.15, 平多:2019-08-10T16:00:00, 平仓价:11375.67, 盈亏-4.56%
开空:2019-08-10T16:00:00, 开仓价:11375.67, 平空:2019-08-17T00:00:00, 平仓价:10475.88, 盈亏7.91%
开多:2019-08-17T00:00:00, 开仓价:10475.88, 平多:2019-08-18T00:00:00, 平仓价:10196.36, 盈亏-2.67%
开空:2019-08-18T00:00:00, 开仓价:10196.36, 平空:2019-08-18T20:00:00, 平仓价:10431.90, 盈亏-2.31%
开多:2019-08-18T20:00:00, 开仓价:10431.90, 平多:2019-08-21T08:00:00, 平仓价:10321.31, 盈亏-1.06%
开空:2019-08-21T08:00:00, 开仓价:10321.31, 平空:2019-08-23T20:00:00, 平仓价:10423.46, 盈亏-0.99%
开多:2019-08-23T20:00:00, 开仓价:10423.46, 平多:2019-08-24T16:00:00, 平仓价:10009.82, 盈亏-3.97%
开空:2019-08-24T16:00:00, 开仓价:10009.82, 平空:2019-08-26T08:00:00, 平仓价:10300.66, 盈亏-2.91%
开多:2019-08-26T08:00:00, 开仓价:10300.66, 平多:2019-08-27T16:00:00, 平仓价:10127.46, 盈亏-1.68%
开空:2019-08-27T16:00:00, 开仓价:10127.46, 平空:2019-09-01T08:00:00, 平仓价:9634.78, 盈亏4.86%
开多:2019-09-01T08:00:00, 开仓价:9634.78, 平多:2019-09-07T04:00:00, 平仓价:10334.04, 盈亏7.26%
开空:2019-09-07T04:00:00, 开仓价:10334.04, 平空:2019-08-17T00:00:00, 平仓价:10475.88, 盈亏-1.37%
开多:2019-08-17T00:00:00, 开仓价:10475.88, 平多:2019-08-18T04:00:00, 平仓价:10238.19, 盈亏-2.27%
开空:2019-08-18T04:00:00, 开仓价:10238.19, 平空:2019-08-18T16:00:00, 平仓价:10427.64, 盈亏-1.85%
开多:2019-08-18T16:00:00, 开仓价:10427.64, 平多:2019-08-21T08:00:00, 平仓价:10321.31, 盈亏-1.02%
开空:2019-08-21T08:00:00, 开仓价:10321.31, 平空:2019-08-23T20:00:00, 平仓价:10423.46, 盈亏-0.99%
开多:2019-08-23T20:00:00, 开仓价:10423.46, 平多:2019-08-24T16:00:00, 平仓价:10009.82, 盈亏-3.97%
开空:2019-08-24T16:00:00, 开仓价:10009.82, 平空:2019-08-26T08:00:00, 平仓价:10300.66, 盈亏-2.91%
开多:2019-08-26T08:00:00, 开仓价:10300.66, 平多:2019-08-27T16:00:00, 平仓价:10127.46, 盈亏-1.68%
开空:2019-08-27T16:00:00, 开仓价:10127.46, 平空:2019-09-01T08:00:00, 平仓价:9634.78, 盈亏4.86%
开多:2019-09-01T08:00:00, 开仓价:9634.78, 平多:2019-09-07T04:00:00, 平仓价:10334.04, 盈亏7.26%
开空:2019-09-07T04:00:00, 开仓价:10334.04, 平空:2019-09-12T20:00:00, 平仓价:10340.00, 盈亏-0.06%
开多:2019-09-12T20:00:00, 开仓价:10340.00, 平多:2019-09-16T20:00:00, 平仓价:10387.19, 盈亏0.46%
开空:2019-09-16T20:00:00, 开仓价:10387.19, 平空:2019-09-20T08:00:00, 平仓价:10521.06, 盈亏-1.29%
开多:2019-09-20T08:00:00, 开仓价:10521.06, 平多:2019-09-21T16:00:00, 平仓价:10349.00, 盈亏-1.64%
开空:2019-09-21T16:00:00, 开仓价:10349.00, 平空:2019-09-30T20:00:00, 平仓价:8357.43, 盈亏19.24%
开多:2019-09-30T20:00:00, 开仓价:8357.43, 平多:2019-10-03T20:00:00, 平仓价:8124.44, 盈亏-2.79%
开空:2019-10-03T20:00:00, 开仓价:8124.44, 平空:2019-09-09T08:00:00, 平仓价:10335.05, 盈亏-27.21%
开多:2019-09-09T08:00:00, 开仓价:10335.05, 平多:2019-09-16T20:00:00, 平仓价:10387.19, 盈亏0.50%
开空:2019-09-16T20:00:00, 开仓价:10387.19, 平空:2019-09-20T08:00:00, 平仓价:10521.06, 盈亏-1.29%
开多:2019-09-20T08:00:00, 开仓价:10521.06, 平多:2019-09-21T16:00:00, 平仓价:10349.00, 盈亏-1.64%
开空:2019-09-21T16:00:00, 开仓价:10349.00, 平空:2019-09-30T20:00:00, 平仓价:8357.43, 盈亏19.24%
开多:2019-09-30T20:00:00, 开仓价:8357.43, 平多:2019-10-03T20:00:00, 平仓价:8124.44, 盈亏-2.79%
开空:2019-10-03T20:00:00, 开仓价:8124.44, 平空:2019-10-07T20:00:00, 平仓价:8218.44, 盈亏-1.16%
开多:2019-10-07T20:00:00, 开仓价:8218.44, 平多:2019-10-11T16:00:00, 平仓价:8360.65, 盈亏1.73%
开空:2019-10-11T16:00:00, 开仓价:8360.65, 平空:2019-10-14T00:00:00, 平仓价:8509.03, 盈亏-1.77%
开多:2019-10-14T00:00:00, 开仓价:8509.03, 平多:2019-10-14T04:00:00, 平仓价:8348.21, 盈亏-1.89%
开空:2019-10-14T04:00:00, 开仓价:8348.21, 平空:2019-10-20T20:00:00, 平仓价:8103.55, 盈亏2.93%
开多:2019-10-20T20:00:00, 开仓价:8103.55, 平多:2019-10-02T12:00:00, 平仓价:8228.13, 盈亏1.54%
开空:2019-10-02T12:00:00, 开仓价:8228.13, 平空:2019-10-03T04:00:00, 平仓价:8395.38, 盈亏-2.03%
开多:2019-10-03T04:00:00, 开仓价:8395.38, 平多:2019-10-03T16:00:00, 平仓价:8256.05, 盈亏-1.66%
开空:2019-10-03T16:00:00, 开仓价:8256.05, 平空:2019-10-07T20:00:00, 平仓价:8218.44, 盈亏0.46%
开多:2019-10-07T20:00:00, 开仓价:8218.44, 平多:2019-10-11T16:00:00, 平仓价:8360.65, 盈亏1.73%
开空:2019-10-11T16:00:00, 开仓价:8360.65, 平空:2019-10-14T00:00:00, 平仓价:8509.03, 盈亏-1.77%
开多:2019-10-14T00:00:00, 开仓价:8509.03, 平多:2019-10-14T04:00:00, 平仓价:8348.21, 盈亏-1.89%
开空:2019-10-14T04:00:00, 开仓价:8348.21, 平空:2019-10-20T20:00:00, 平仓价:8103.55, 盈亏2.93%
开多:2019-10-20T20:00:00, 开仓价:8103.55, 平多:2019-10-14T16:00:00, 平仓价:8358.68, 盈亏3.15%
开空:2019-10-14T16:00:00, 开仓价:8358.68, 平空:2019-10-15T04:00:00, 平仓价:8435.33, 盈亏-0.92%
开多:2019-10-15T04:00:00, 开仓价:8435.33, 平多:2019-10-15T12:00:00, 平仓价:8357.01, 盈亏-0.93%
开空:2019-10-15T12:00:00, 开仓价:8357.01, 平空:2019-10-20T20:00:00, 平仓价:8103.55, 盈亏3.03%
开多:2019-10-20T20:00:00, 开仓价:8103.55, 平多:2019-10-17T08:00:00, 平仓价:8023.25, 盈亏-0.99%
开空:2019-10-17T08:00:00, 开仓价:8023.25, 平空:2019-10-20T20:00:00, 平仓价:8103.55, 盈亏-1.00%
开多:2019-10-20T20:00:00, 开仓价:8103.55, 平多:2019-10-20T00:00:00, 平仓价:8037.79, 盈亏-0.81%
开空:2019-10-20T00:00:00, 开仓价:8037.79, 平空:2019-10-21T00:00:00, 平仓价:8323.64, 盈亏-3.56%
总盈亏-11.75%
=============ETH 7, 10=============
开多:2019-06-01T16:00:00, 开仓价:271.34, 平多:2019-06-02T00:00:00, 平仓价:265.45, 盈亏-2.17%
开空:2019-06-02T00:00:00, 开仓价:265.45, 平空:2019-06-02T12:00:00, 平仓价:273.15, 盈亏-2.90%
开多:2019-06-02T12:00:00, 开仓价:273.15, 平多:2019-06-03T12:00:00, 平仓价:262.48, 盈亏-3.90%
开空:2019-06-03T12:00:00, 开仓价:262.48, 平空:2019-06-07T12:00:00, 平仓价:248.67, 盈亏5.26%
开多:2019-06-07T12:00:00, 开仓价:248.67, 平多:2019-06-09T00:00:00, 平仓价:242.73, 盈亏-2.39%
开空:2019-06-09T00:00:00, 开仓价:242.73, 平空:2019-06-11T00:00:00, 平仓价:246.14, 盈亏-1.41%
开多:2019-06-11T00:00:00, 开仓价:246.14, 平多:2019-06-18T16:00:00, 平仓价:268.40, 盈亏9.04%
开空:2019-06-18T16:00:00, 开仓价:268.40, 平空:2019-06-20T08:00:00, 平仓价:271.25, 盈亏-1.06%
开多:2019-06-20T08:00:00, 开仓价:271.25, 平多:2019-06-20T16:00:00, 平仓价:268.38, 盈亏-1.06%
开空:2019-06-20T16:00:00, 开仓价:268.38, 平空:2019-06-20T20:00:00, 平仓价:269.90, 盈亏-0.57%
开多:2019-06-20T20:00:00, 开仓价:269.90, 平多:2019-06-27T20:00:00, 平仓价:311.30, 盈亏15.34%
开空:2019-06-27T20:00:00, 开仓价:311.30, 平空:2019-06-30T04:00:00, 平仓价:317.52, 盈亏-2.00%
开多:2019-06-30T04:00:00, 开仓价:317.52, 平多:2019-06-30T16:00:00, 平仓价:302.99, 盈亏-4.58%
开空:2019-06-30T16:00:00, 开仓价:302.99, 平空:2019-07-03T12:00:00, 平仓价:294.46, 盈亏2.81%
开多:2019-07-03T12:00:00, 开仓价:294.46, 平多:2019-07-05T04:00:00, 平仓价:282.72, 盈亏-3.98%
开空:2019-07-05T04:00:00, 开仓价:282.72, 平空:2019-07-06T08:00:00, 平仓价:296.03, 盈亏-4.71%
开多:2019-07-06T08:00:00, 开仓价:296.03, 平多:2019-07-07T08:00:00, 平仓价:289.84, 盈亏-2.09%
开空:2019-07-07T08:00:00, 开仓价:289.84, 平空:2019-07-07T16:00:00, 平仓价:296.22, 盈亏-2.20%
开多:2019-07-07T16:00:00, 开仓价:296.22, 平多:2019-07-10T20:00:00, 平仓价:289.02, 盈亏-2.43%
开空:2019-07-10T20:00:00, 开仓价:289.02, 平空:2019-07-18T20:00:00, 平仓价:224.99, 盈亏22.15%
开多:2019-07-18T20:00:00, 开仓价:224.99, 平多:2019-06-28T12:00:00, 平仓价:300.12, 盈亏33.39%
开空:2019-06-28T12:00:00, 开仓价:300.12, 平空:2019-06-29T00:00:00, 平仓价:311.24, 盈亏-3.70%
开多:2019-06-29T00:00:00, 开仓价:311.24, 平多:2019-06-29T08:00:00, 平仓价:296.95, 盈亏-4.59%
开空:2019-06-29T08:00:00, 开仓价:296.95, 平空:2019-06-30T00:00:00, 平仓价:310.40, 盈亏-4.53%
开多:2019-06-30T00:00:00, 开仓价:310.40, 平多:2019-06-30T20:00:00, 平仓价:296.53, 盈亏-4.47%
开空:2019-06-30T20:00:00, 开仓价:296.53, 平空:2019-07-03T12:00:00, 平仓价:294.46, 盈亏0.70%
开多:2019-07-03T12:00:00, 开仓价:294.46, 平多:2019-07-05T04:00:00, 平仓价:282.72, 盈亏-3.98%
开空:2019-07-05T04:00:00, 开仓价:282.72, 平空:2019-07-06T08:00:00, 平仓价:296.03, 盈亏-4.71%
开多:2019-07-06T08:00:00, 开仓价:296.03, 平多:2019-07-07T08:00:00, 平仓价:289.84, 盈亏-2.09%
开空:2019-07-07T08:00:00, 开仓价:289.84, 平空:2019-07-07T16:00:00, 平仓价:296.22, 盈亏-2.20%
