=============BTC 7, 10=============
开空:2019-09-23T12:00:00, 开仓价:10257.16, 平空:2019-09-28T06:00:00, 平仓价:8222.21, 盈亏19.84%
开多:2019-09-28T06:00:00, 开仓价:8222.21, 平多:2019-09-28T22:00:00, 平仓价:8103.96, 盈亏-1.44%
开空:2019-09-28T22:00:00, 开仓价:8103.96, 平空:2019-09-29T06:00:00, 平仓价:8245.93, 盈亏-1.75%
开多:2019-09-29T06:00:00, 开仓价:8245.93, 平多:2019-09-29T12:00:00, 平仓价:8158.88, 盈亏-1.06%
开空:2019-09-29T12:00:00, 开仓价:8158.88, 平空:2019-09-30T20:00:00, 平仓价:8152.27, 盈亏0.08%
开多:2019-09-30T20:00:00, 开仓价:8152.27, 平多:2019-10-02T08:00:00, 平仓价:8306.14, 盈亏1.89%
开空:2019-10-02T08:00:00, 开仓价:8306.14, 平空:2019-10-03T06:00:00, 平仓价:8395.38, 盈亏-1.07%
开多:2019-10-03T06:00:00, 开仓价:8395.38, 平多:2019-10-03T18:00:00, 平仓价:8256.05, 盈亏-1.66%
开空:2019-10-03T18:00:00, 开仓价:8256.05, 平空:2019-10-05T02:00:00, 平仓价:8225.95, 盈亏0.36%
开多:2019-10-05T02:00:00, 开仓价:8225.95, 平多:2019-10-05T08:00:00, 平仓价:8137.76, 盈亏-1.07%
开空:2019-10-05T08:00:00, 开仓价:8137.76, 平空:2019-10-07T20:00:00, 平仓价:8181.33, 盈亏-0.54%
开多:2019-10-07T20:00:00, 开仓价:8181.33, 平多:2019-10-09T10:00:00, 平仓价:8180.96, 盈亏0.00%
开空:2019-10-09T10:00:00, 开仓价:8180.96, 平空:2019-10-09T16:00:00, 平仓价:8259.89, 盈亏-0.96%
开多:2019-10-09T16:00:00, 开仓价:8259.89, 平多:2019-10-11T12:00:00, 平仓价:8485.42, 盈亏2.73%
开空:2019-10-11T12:00:00, 开仓价:8485.42, 平空:2019-10-13T18:00:00, 平仓价:8409.77, 盈亏0.89%
开多:2019-10-13T18:00:00, 开仓价:8409.77, 平多:2019-10-14T06:00:00, 平仓价:8348.21, 盈亏-0.73%
开空:2019-10-14T06:00:00, 开仓价:8348.21, 平空:2019-10-15T02:00:00, 平仓价:8416.09, 盈亏-0.81%
开多:2019-10-15T02:00:00, 开仓价:8416.09, 平多:2019-10-15T14:00:00, 平仓价:8357.01, 盈亏-0.70%
开空:2019-10-15T14:00:00, 开仓价:8357.01, 平空:2019-10-17T20:00:00, 平仓价:8136.20, 盈亏2.64%
开多:2019-10-17T20:00:00, 开仓价:8136.20, 平多:2019-10-18T12:00:00, 平仓价:7964.37, 盈亏-2.11%
开空:2019-10-18T12:00:00, 开仓价:7964.37, 平空:2019-10-19T20:00:00, 平仓价:8074.88, 盈亏-1.39%
开多:2019-10-19T20:00:00, 开仓价:8074.88, 平多:2019-10-20T08:00:00, 平仓价:7956.00, 盈亏-1.47%
开空:2019-10-20T08:00:00, 开仓价:7956.00, 平空:2019-10-20T22:00:00, 平仓价:8103.55, 盈亏-1.85%
总盈亏-22.75%
=============ETH 7, 10=============
开空:2019-08-01T14:00:00, 开仓价:214.02, 平空:2019-08-02T02:00:00, 平仓价:216.00, 盈亏-0.92%
