开空:2019-09-14T14:00:00, 开仓价:183.59, 平空:2019-09-14T16:00:00, 平仓价:184.00, 盈亏-0.23%
开多:2019-09-14T16:00:00, 开仓价:184.00, 平多:2019-09-15T22:00:00, 平仓价:191.74, 盈亏4.20%
开空:2019-09-15T22:00:00, 开仓价:191.74, 平空:2019-09-16T03:00:00, 平仓价:193.60, 盈亏-0.97%
开多:2019-09-16T03:00:00, 开仓价:193.60, 平多:2019-09-16T20:00:00, 平仓价:194.21, 盈亏0.32%
开空:2019-09-16T20:00:00, 开仓价:194.21, 平空:2019-09-17T04:00:00, 平仓价:204.00, 盈亏-5.04%
开多:2019-09-17T04:00:00, 开仓价:204.00, 平多:2019-09-19T03:00:00, 平仓价:215.64, 盈亏5.70%
开空:2019-09-19T03:00:00, 开仓价:215.64, 平空:2019-09-19T21:00:00, 平仓价:213.39, 盈亏1.04%
开多:2019-09-19T21:00:00, 开仓价:213.39, 平多:2019-09-20T17:00:00, 平仓价:222.01, 盈亏4.04%
开空:2019-09-20T17:00:00, 开仓价:222.01, 平空:2019-09-20T19:00:00, 平仓价:223.27, 盈亏-0.57%
开多:2019-09-20T19:00:00, 开仓价:223.27, 平多:2019-09-20T22:00:00, 平仓价:221.55, 盈亏-0.77%
开空:2019-09-20T22:00:00, 开仓价:221.55, 平空:2019-09-21T08:00:00, 平仓价:223.66, 盈亏-0.95%
开多:2019-09-21T08:00:00, 开仓价:223.66, 平多:2019-09-21T16:00:00, 平仓价:221.70, 盈亏-0.88%
开空:2019-09-21T16:00:00, 开仓价:221.70, 平空:2019-09-21T23:00:00, 平仓价:223.72, 盈亏-0.91%
开多:2019-09-21T23:00:00, 开仓价:223.72, 平多:2019-09-22T01:00:00, 平仓价:220.36, 盈亏-1.50%
开空:2019-09-22T01:00:00, 开仓价:220.36, 平空:2019-09-23T07:00:00, 平仓价:216.46, 盈亏1.77%
开多:2019-09-23T07:00:00, 开仓价:216.46, 平多:2019-09-23T09:00:00, 平仓价:214.39, 盈亏-0.96%
开空:2019-09-23T09:00:00, 开仓价:214.39, 平空:2019-09-23T16:00:00, 平仓价:215.09, 盈亏-0.33%
开多:2019-09-23T16:00:00, 开仓价:215.09, 平多:2019-09-23T21:00:00, 平仓价:214.40, 盈亏-0.32%
开空:2019-09-23T21:00:00, 开仓价:214.40, 平空:2019-09-23T22:00:00, 平仓价:215.30, 盈亏-0.42%
开多:2019-09-23T22:00:00, 开仓价:215.30, 平多:2019-09-24T00:00:00, 平仓价:214.01, 盈亏-0.60%
开空:2019-09-24T00:00:00, 开仓价:214.01, 平空:2019-10-07T19:00:00, 平仓价:174.56, 盈亏18.43%
开多:2019-10-07T19:00:00, 开仓价:174.56, 平多:2019-10-08T21:00:00, 平仓价:180.62, 盈亏3.47%
开空:2019-10-08T21:00:00, 开仓价:180.62, 平空:2019-10-09T08:00:00, 平仓价:182.15, 盈亏-0.85%
开多:2019-10-09T08:00:00, 开仓价:182.15, 平多:2019-10-09T12:00:00, 平仓价:180.50, 盈亏-0.91%
开空:2019-10-09T12:00:00, 开仓价:180.50, 平空:2019-10-09T13:00:00, 平仓价:181.04, 盈亏-0.30%
开多:2019-10-09T13:00:00, 开仓价:181.04, 平多:2019-10-10T17:00:00, 平仓价:190.39, 盈亏5.16%
开空:2019-10-10T17:00:00, 开仓价:190.39, 平空:2019-10-11T00:00:00, 平仓价:192.46, 盈亏-1.09%
开多:2019-10-11T00:00:00, 开仓价:192.46, 平多:2019-10-11T01:00:00, 平仓价:190.95, 盈亏-0.79%
开空:2019-10-11T01:00:00, 开仓价:190.95, 平空:2019-10-11T03:00:00, 平仓价:192.73, 盈亏-0.93%
开多:2019-10-11T03:00:00, 开仓价:192.73, 平多:2019-10-11T08:00:00, 平仓价:190.64, 盈亏-1.08%
开空:2019-10-11T08:00:00, 开仓价:190.64, 平空:2019-10-11T11:00:00, 平仓价:193.43, 盈亏-1.47%
开多:2019-10-11T11:00:00, 开仓价:193.43, 平多:2019-10-11T13:00:00, 平仓价:188.89, 盈亏-2.35%
开空:2019-10-11T13:00:00, 开仓价:188.89, 平空:2019-10-12T13:00:00, 平仓价:184.08, 盈亏2.55%
开多:2019-10-12T13:00:00, 开仓价:184.08, 平多:2019-10-13T02:00:00, 平仓价:180.87, 盈亏-1.74%
